,Year,From,To,Score
1,2013,San Marino,France,8
2,2013,San Marino,Lithuania,0
3,2013,San Marino,Moldova,0
4,2013,San Marino,Finland,3
5,2013,San Marino,Spain,0
6,2013,San Marino,Belgium,5
7,2013,San Marino,Estonia,0
8,2013,San Marino,Belarus,0
9,2013,San Marino,Malta,10
10,2013,San Marino,Russia,0
11,2013,San Marino,Germany,0
12,2013,San Marino,Armenia,1
13,2013,San Marino,Netherlands,0
14,2013,San Marino,Romania,0
15,2013,San Marino,United Kingdom,0
16,2013,San Marino,Sweden,0
17,2013,San Marino,Hungary,6
18,2013,San Marino,Denmark,0
19,2013,San Marino,Iceland,0
20,2013,San Marino,Azerbaijan,2
21,2013,San Marino,Greece,12
22,2013,San Marino,Ukraine,0
23,2013,San Marino,Italy,4
24,2013,San Marino,Norway,7
25,2013,San Marino,Georgia,0
26,2013,San Marino,Ireland,0
27,2013,Sweden,France,0
28,2013,Sweden,Lithuania,0
29,2013,Sweden,Moldova,0
30,2013,Sweden,Finland,0
31,2013,Sweden,Spain,0
32,2013,Sweden,Belgium,7
33,2013,Sweden,Estonia,0
34,2013,Sweden,Belarus,0
35,2013,Sweden,Malta,0
36,2013,Sweden,Russia,5
37,2013,Sweden,Germany,0
38,2013,Sweden,Armenia,0
39,2013,Sweden,Netherlands,8
40,2013,Sweden,Romania,4
41,2013,Sweden,United Kingdom,1
43,2013,Sweden,Hungary,3
44,2013,Sweden,Denmark,10
45,2013,Sweden,Iceland,6
46,2013,Sweden,Azerbaijan,0
47,2013,Sweden,Greece,0
48,2013,Sweden,Ukraine,0
49,2013,Sweden,Italy,0
50,2013,Sweden,Norway,12
51,2013,Sweden,Georgia,0
52,2013,Sweden,Ireland,2
53,2013,Albania,France,0
54,2013,Albania,Lithuania,0
55,2013,Albania,Moldova,0
56,2013,Albania,Finland,0
57,2013,Albania,Spain,6
58,2013,Albania,Belgium,0
59,2013,Albania,Estonia,0
60,2013,Albania,Belarus,0
61,2013,Albania,Malta,0
62,2013,Albania,Russia,0
63,2013,Albania,Germany,3
64,2013,Albania,Armenia,0
65,2013,Albania,Netherlands,4
66,2013,Albania,Romania,5
67,2013,Albania,United Kingdom,0
68,2013,Albania,Sweden,0
69,2013,Albania,Hungary,8
70,2013,Albania,Denmark,1
71,2013,Albania,Iceland,0
72,2013,Albania,Azerbaijan,7
73,2013,Albania,Greece,10
74,2013,Albania,Ukraine,0
75,2013,Albania,Italy,12
76,2013,Albania,Norway,2
77,2013,Albania,Georgia,0
78,2013,Albania,Ireland,0
79,2013,Netherlands,France,0
80,2013,Netherlands,Lithuania,0
81,2013,Netherlands,Moldova,0
82,2013,Netherlands,Finland,0
83,2013,Netherlands,Spain,0
84,2013,Netherlands,Belgium,12
85,2013,Netherlands,Estonia,0
86,2013,Netherlands,Belarus,0
87,2013,Netherlands,Malta,8
88,2013,Netherlands,Russia,4
89,2013,Netherlands,Germany,0
90,2013,Netherlands,Armenia,0
92,2013,Netherlands,Romania,0
93,2013,Netherlands,United Kingdom,0
94,2013,Netherlands,Sweden,3
95,2013,Netherlands,Hungary,7
96,2013,Netherlands,Denmark,10
97,2013,Netherlands,Iceland,0
98,2013,Netherlands,Azerbaijan,2
99,2013,Netherlands,Greece,1
100,2013,Netherlands,Ukraine,5
101,2013,Netherlands,Italy,0
102,2013,Netherlands,Norway,6
103,2013,Netherlands,Georgia,0
104,2013,Netherlands,Ireland,0
105,2013,Austria,France,0
106,2013,Austria,Lithuania,0
107,2013,Austria,Moldova,2
108,2013,Austria,Finland,0
109,2013,Austria,Spain,0
110,2013,Austria,Belgium,3
111,2013,Austria,Estonia,0
112,2013,Austria,Belarus,0
113,2013,Austria,Malta,0
114,2013,Austria,Russia,0
115,2013,Austria,Germany,6
116,2013,Austria,Armenia,0
117,2013,Austria,Netherlands,8
118,2013,Austria,Romania,4
119,2013,Austria,United Kingdom,0
120,2013,Austria,Sweden,0
121,2013,Austria,Hungary,0
122,2013,Austria,Denmark,5
123,2013,Austria,Iceland,0
124,2013,Austria,Azerbaijan,12
125,2013,Austria,Greece,7
126,2013,Austria,Ukraine,1
127,2013,Austria,Italy,10
128,2013,Austria,Norway,0
129,2013,Austria,Georgia,0
130,2013,Austria,Ireland,0
131,2013,United Kingdom,France,0
132,2013,United Kingdom,Lithuania,0
133,2013,United Kingdom,Moldova,0
134,2013,United Kingdom,Finland,0
135,2013,United Kingdom,Spain,0
136,2013,United Kingdom,Belgium,3
137,2013,United Kingdom,Estonia,0
138,2013,United Kingdom,Belarus,0
139,2013,United Kingdom,Malta,7
140,2013,United Kingdom,Russia,10
141,2013,United Kingdom,Germany,0
142,2013,United Kingdom,Armenia,0
143,2013,United Kingdom,Netherlands,6
144,2013,United Kingdom,Romania,4
146,2013,United Kingdom,Sweden,0
147,2013,United Kingdom,Hungary,0
148,2013,United Kingdom,Denmark,12
149,2013,United Kingdom,Iceland,2
150,2013,United Kingdom,Azerbaijan,0
151,2013,United Kingdom,Greece,8
152,2013,United Kingdom,Ukraine,5
153,2013,United Kingdom,Italy,0
154,2013,United Kingdom,Norway,0
155,2013,United Kingdom,Georgia,0
156,2013,United Kingdom,Ireland,1
157,2013,Israel,France,0
158,2013,Israel,Lithuania,0
159,2013,Israel,Moldova,1
160,2013,Israel,Finland,4
161,2013,Israel,Spain,0
162,2013,Israel,Belgium,0
163,2013,Israel,Estonia,0
164,2013,Israel,Belarus,3
165,2013,Israel,Malta,0
166,2013,Israel,Russia,7
167,2013,Israel,Germany,5
168,2013,Israel,Armenia,0
169,2013,Israel,Netherlands,0
170,2013,Israel,Romania,0
171,2013,Israel,United Kingdom,0
172,2013,Israel,Sweden,0
173,2013,Israel,Hungary,0
174,2013,Israel,Denmark,8
175,2013,Israel,Iceland,0
176,2013,Israel,Azerbaijan,12
177,2013,Israel,Greece,2
178,2013,Israel,Ukraine,10
179,2013,Israel,Italy,0
180,2013,Israel,Norway,6
181,2013,Israel,Georgia,0
182,2013,Israel,Ireland,0
183,2013,Serbia,France,0
184,2013,Serbia,Lithuania,0
185,2013,Serbia,Moldova,6
186,2013,Serbia,Finland,0
187,2013,Serbia,Spain,0
188,2013,Serbia,Belgium,3
189,2013,Serbia,Estonia,0
190,2013,Serbia,Belarus,0
191,2013,Serbia,Malta,0
192,2013,Serbia,Russia,8
193,2013,Serbia,Germany,0
194,2013,Serbia,Armenia,0
195,2013,Serbia,Netherlands,0
196,2013,Serbia,Romania,0
197,2013,Serbia,United Kingdom,0
198,2013,Serbia,Sweden,1
199,2013,Serbia,Hungary,2
200,2013,Serbia,Denmark,12
201,2013,Serbia,Iceland,0
202,2013,Serbia,Azerbaijan,5
203,2013,Serbia,Greece,0
204,2013,Serbia,Ukraine,10
205,2013,Serbia,Italy,4
206,2013,Serbia,Norway,7
207,2013,Serbia,Georgia,0
208,2013,Serbia,Ireland,0
209,2013,Ukraine,France,0
210,2013,Ukraine,Lithuania,1
211,2013,Ukraine,Moldova,8
212,2013,Ukraine,Finland,0
213,2013,Ukraine,Spain,0
214,2013,Ukraine,Belgium,0
215,2013,Ukraine,Estonia,0
216,2013,Ukraine,Belarus,12
217,2013,Ukraine,Malta,2
218,2013,Ukraine,Russia,4
219,2013,Ukraine,Germany,0
220,2013,Ukraine,Armenia,6
221,2013,Ukraine,Netherlands,0
222,2013,Ukraine,Romania,0
223,2013,Ukraine,United Kingdom,0
224,2013,Ukraine,Sweden,0
225,2013,Ukraine,Hungary,0
226,2013,Ukraine,Denmark,5
227,2013,Ukraine,Iceland,0
228,2013,Ukraine,Azerbaijan,10
229,2013,Ukraine,Greece,0
231,2013,Ukraine,Italy,0
232,2013,Ukraine,Norway,3
233,2013,Ukraine,Georgia,7
234,2013,Ukraine,Ireland,0
235,2013,Hungary,France,0
236,2013,Hungary,Lithuania,0
237,2013,Hungary,Moldova,0
238,2013,Hungary,Finland,0
239,2013,Hungary,Spain,0
240,2013,Hungary,Belgium,4
241,2013,Hungary,Estonia,0
242,2013,Hungary,Belarus,0
243,2013,Hungary,Malta,8
244,2013,Hungary,Russia,0
245,2013,Hungary,Germany,0
246,2013,Hungary,Armenia,3
247,2013,Hungary,Netherlands,5
249,2013,Hungary,United Kingdom,0
250,2013,Hungary,Sweden,0
252,2013,Hungary,Denmark,10
253,2013,Hungary,Iceland,6
254,2013,Hungary,Azerbaijan,12
255,2013,Hungary,Greece,1
256,2013,Hungary,Ukraine,7
257,2013,Hungary,Italy,0
258,2013,Hungary,Norway,2
259,2013,Hungary,Georgia,0
260,2013,Hungary,Ireland,0
261,2013,Romania,France,0
262,2013,Romania,Lithuania,0
263,2013,Romania,Moldova,12
264,2013,Romania,Finland,0
265,2013,Romania,Spain,0
266,2013,Romania,Belgium,0
267,2013,Romania,Estonia,0
268,2013,Romania,Belarus,0
269,2013,Romania,Malta,5
270,2013,Romania,Russia,0
271,2013,Romania,Germany,0
272,2013,Romania,Armenia,0
273,2013,Romania,Netherlands,2
274,2013,Romania,Romania,0
275,2013,Romania,United Kingdom,3
276,2013,Romania,Sweden,0
277,2013,Romania,Hungary,0
278,2013,Romania,Denmark,6
279,2013,Romania,Iceland,0
280,2013,Romania,Azerbaijan,10
281,2013,Romania,Greece,7
282,2013,Romania,Ukraine,4
283,2013,Romania,Italy,1
284,2013,Romania,Norway,8
285,2013,Romania,Georgia,0
286,2013,Romania,Ireland,0
287,2013,Moldova,France,0
288,2013,Moldova,Lithuania,0
290,2013,Moldova,Finland,0
291,2013,Moldova,Spain,0
292,2013,Moldova,Belgium,0
293,2013,Moldova,Estonia,0
294,2013,Moldova,Belarus,4
295,2013,Moldova,Malta,0
296,2013,Moldova,Russia,7
297,2013,Moldova,Germany,0
298,2013,Moldova,Armenia,1
299,2013,Moldova,Netherlands,0
300,2013,Moldova,Romania,10
301,2013,Moldova,United Kingdom,0
302,2013,Moldova,Sweden,5
303,2013,Moldova,Hungary,0
304,2013,Moldova,Denmark,6
305,2013,Moldova,Iceland,0
306,2013,Moldova,Azerbaijan,8
307,2013,Moldova,Greece,0
308,2013,Moldova,Ukraine,12
309,2013,Moldova,Italy,0
310,2013,Moldova,Norway,2
311,2013,Moldova,Georgia,3
312,2013,Moldova,Ireland,0
