From country,To country,Jury A,Jury B,Jury C,Jury D,Jury E,Rank,Televote,Combined,Points
Albania,Ukraine,15,17,17,24,13,19,"
",19,"
"
Albania,Belarus,18,8,26,25,22,23,"
",23,"
"
Albania,Azerbaijan,12,14,16,7,26,15,"
",15,"
"
Albania,Iceland,24,26,18,26,14,24,"
",24,"
"
Albania,Norway,23,19,19,18,15,20,"
",20,"
"
Albania,Romania,22,16,9,14,16,16,"
",16,"
"
Albania,Armenia,9,13,20,6,25,13,"
",13,"
"
Albania,Montenegro,6,10,5,5,3,5,"
",5,6
Albania,Poland,14,18,21,23,23,22,"
",22,"
"
Albania,Greece,3,22,15,15,2,9,"
",9,2
Albania,Austria,11,6,4,4,6,6,"
",6,5
Albania,Germany,7,2,8,8,17,7,"
",7,4
Albania,Sweden,1,12,1,1,9,4,"
",4,7
Albania,France,17,5,22,22,7,12,"
",12,"
"
Albania,Russia,26,25,25,16,18,25,"
",25,"
"
Albania,Italy,2,3,3,9,1,2,"
",2,10
Albania,Slovenia,13,15,14,13,19,14,"
",14,"
"
Albania,Finland,16,9,13,19,24,17,"
",17,"
"
Albania,Spain,4,1,6,2,4,1,"
",1,12
Albania,Switzerland,25,24,23,20,20,26,"
",26,"
"
Albania,Hungary,5,4,2,3,5,3,"
",3,8
Albania,Malta,8,23,7,17,8,10,"
",10,1
Albania,Denmark,20,21,24,21,11,21,"
",21,"
"
Albania,The Netherlands,19,20,12,11,21,18,"
",18,"
"
Albania,San Marino,10,11,10,10,10,8,"
",8,3
Albania,United Kingdom,21,7,11,12,12,11,"
",11,"
"
Armenia,Ukraine,20,22,20,21,20,20,7,15,"
"
Armenia,Belarus,4,5,4,4,4,3,5,3,8
Armenia,Azerbaijan,25,25,25,25,25,25,25,25,"
"
Armenia,Iceland,11,8,5,3,9,5,19,11,"
"
Armenia,Norway,15,19,9,15,19,18,21,23,"
"
Armenia,Romania,16,6,16,18,17,17,17,20,"
"
Armenia,Montenegro,2,1,2,2,2,2,4,1,12
Armenia,Poland,18,2,17,13,5,11,16,16,"
"
Armenia,Greece,14,4,18,16,3,10,6,4,7
Armenia,Austria,23,21,23,24,23,24,2,14,"
"
Armenia,Germany,3,7,3,5,16,4,12,5,6
Armenia,Sweden,24,23,24,10,24,22,3,12,"
"
Armenia,France,19,18,19,19,14,19,13,18,"
"
Armenia,Russia,6,9,12,9,8,6,1,2,10
Armenia,Italy,13,10,15,14,15,16,23,24,"
"
Armenia,Slovenia,12,11,13,6,12,8,22,17,"
"
Armenia,Finland,17,12,14,8,13,15,20,21,"
"
Armenia,Spain,7,15,10,12,11,12,11,9,2
Armenia,Switzerland,10,13,8,20,6,13,8,6,5
Armenia,Hungary,22,24,22,23,22,23,10,19,"
"
Armenia,Malta,1,3,1,1,1,1,24,13,"
"
Armenia,Denmark,5,14,11,17,7,9,14,10,1
Armenia,The Netherlands,8,16,7,11,10,7,15,7,4
Armenia,San Marino,9,17,6,7,18,14,9,8,3
Armenia,United Kingdom,21,20,21,22,21,21,18,22,"
"
Austria,Ukraine,4,11,11,9,10,6,12,6,5
Austria,Belarus,15,17,20,21,8,19,19,20,"
"
Austria,Azerbaijan,25,6,16,14,23,20,25,24,"
"
Austria,Iceland,14,18,10,11,13,12,8,9,2
Austria,Norway,23,10,5,12,12,11,9,10,1
Austria,Romania,10,8,6,1,17,5,4,3,8
Austria,Armenia,21,1,1,2,1,3,2,1,12
Austria,Montenegro,17,16,17,22,21,22,17,21,"
"
Austria,Poland,18,19,19,20,20,24,3,13,"
"
Austria,Greece,19,25,18,13,9,21,14,19,"
"
Austria,Germany,6,14,15,19,24,16,5,12,"
"
Austria,Sweden,3,3,2,3,4,1,10,5,6
Austria,France,7,20,21,7,6,10,23,18,"
"
Austria,Russia,24,5,22,10,16,15,18,17,"
"
Austria,Italy,22,13,24,18,19,23,20,23,"
"
Austria,Slovenia,12,9,14,6,11,9,11,11,"
"
Austria,Finland,2,2,9,4,3,2,16,7,4
Austria,Spain,8,7,13,16,7,8,21,15,"
"
Austria,Switzerland,9,21,23,5,14,13,6,8,3
Austria,Hungary,20,4,4,8,5,4,7,4,7
Austria,Malta,16,12,8,15,22,14,15,14,"
"
Austria,Denmark,13,22,7,23,15,18,13,16,"
"
Austria,The Netherlands,11,15,3,17,2,7,1,2,10
Austria,San Marino,5,23,25,25,25,25,24,25,"
"
Austria,United Kingdom,1,24,12,24,18,17,22,22,"
"
Azerbaijan,Ukraine,6,5,5,7,6,6,1,2,10
Azerbaijan,Belarus,3,2,3,4,1,2,5,4,7
Azerbaijan,Iceland,19,18,17,19,19,18,18,21,"
"
Azerbaijan,Norway,20,21,20,20,18,20,19,24,"
"
Azerbaijan,Romania,5,6,2,2,3,4,9,5,6
Azerbaijan,Armenia,25,25,25,25,25,25,25,25,"
"
Azerbaijan,Montenegro,9,11,10,9,10,10,22,18,"
"
Azerbaijan,Poland,10,10,12,11,12,11,12,9,2
Azerbaijan,Greece,4,4,6,5,7,5,11,7,4
Azerbaijan,Austria,24,24,23,24,23,24,3,10,1
Azerbaijan,Germany,23,22,22,21,22,22,17,23,"
"
Azerbaijan,Sweden,22,23,24,23,24,23,7,13,"
"
Azerbaijan,France,15,12,15,13,14,14,24,22,"
"
Azerbaijan,Russia,1,3,1,1,2,1,2,1,12
Azerbaijan,Italy,8,7,9,6,5,7,23,16,"
"
Azerbaijan,Slovenia,11,8,8,10,8,9,21,15,"
"
Azerbaijan,Finland,14,15,14,15,16,15,20,20,"
"
Azerbaijan,Spain,12,13,11,14,11,12,15,12,"
"
Azerbaijan,Switzerland,21,20,21,22,21,21,6,11,"
"
Azerbaijan,Hungary,2,1,4,3,4,3,4,3,8
