Year,From,To,Score
1998,Belgium,Croatia,5
1998,Belgium,Greece,0
1998,Belgium,France,0
1998,Belgium,Spain,3
1998,Belgium,Switzerland,0
1998,Belgium,Slovakia,0
1998,Belgium,Poland,0
1998,Belgium,Israel,10
1998,Belgium,Germany,7
1998,Belgium,Malta,8
1998,Belgium,Hungary,0
1998,Belgium,Slovenia,0
1998,Belgium,Ireland,0
1998,Belgium,Portugal,1
1998,Belgium,Romania,0
1998,Belgium,United Kingdom,6
1998,Belgium,Cyprus,2
1998,Belgium,Netherlands,12
1998,Belgium,Sweden,0
1998,Belgium,Finland,0
1998,Belgium,Norway,4
1998,Belgium,Estonia,0
1998,Belgium,Turkey,0
1998,Belgium,Macedonia,0
1998,Croatia,Greece,0
1998,Croatia,France,0
1998,Croatia,Spain,1
1998,Croatia,Switzerland,0
1998,Croatia,Slovakia,8
1998,Croatia,Poland,0
1998,Croatia,Israel,0
1998,Croatia,Germany,0
1998,Croatia,Malta,7
1998,Croatia,Hungary,0
1998,Croatia,Slovenia,3
1998,Croatia,Ireland,2
1998,Croatia,Portugal,0
1998,Croatia,Romania,0
1998,Croatia,United Kingdom,12
1998,Croatia,Cyprus,4
1998,Croatia,Netherlands,10
1998,Croatia,Sweden,0
1998,Croatia,Belgium,0
1998,Croatia,Finland,0
1998,Croatia,Norway,0
1998,Croatia,Estonia,0
1998,Croatia,Turkey,5
1998,Croatia,Macedonia,6
1998,Cyprus,Croatia,7
1998,Cyprus,Greece,12
1998,Cyprus,France,1
1998,Cyprus,Spain,4
1998,Cyprus,Switzerland,0
1998,Cyprus,Slovakia,0
1998,Cyprus,Poland,0
1998,Cyprus,Israel,10
1998,Cyprus,Germany,0
1998,Cyprus,Malta,5
1998,Cyprus,Hungary,0
1998,Cyprus,Slovenia,0
1998,Cyprus,Ireland,0
1998,Cyprus,Portugal,2
1998,Cyprus,Romania,0
1998,Cyprus,United Kingdom,8
1998,Cyprus,Netherlands,0
1998,Cyprus,Sweden,0
1998,Cyprus,Belgium,6
1998,Cyprus,Finland,0
1998,Cyprus,Norway,3
1998,Cyprus,Estonia,0
1998,Cyprus,Turkey,0
1998,Cyprus,Macedonia,0
1998,Estonia,Croatia,3
1998,Estonia,Greece,0
1998,Estonia,France,0
1998,Estonia,Spain,0
1998,Estonia,Switzerland,0
1998,Estonia,Slovakia,0
1998,Estonia,Poland,0
1998,Estonia,Israel,7
1998,Estonia,Germany,1
1998,Estonia,Malta,5
1998,Estonia,Hungary,0
1998,Estonia,Slovenia,0
1998,Estonia,Ireland,2
1998,Estonia,Portugal,0
1998,Estonia,Romania,0
1998,Estonia,United Kingdom,8
1998,Estonia,Cyprus,0
1998,Estonia,Netherlands,0
1998,Estonia,Sweden,12
1998,Estonia,Belgium,6
1998,Estonia,Finland,10
1998,Estonia,Norway,4
1998,Estonia,Turkey,0
1998,Estonia,Macedonia,0
1998,Finland,Croatia,3
1998,Finland,Greece,0
1998,Finland,France,0
1998,Finland,Spain,0
1998,Finland,Switzerland,0
1998,Finland,Slovakia,0
1998,Finland,Poland,0
1998,Finland,Israel,10
1998,Finland,Germany,1
1998,Finland,Malta,5
1998,Finland,Hungary,0
1998,Finland,Slovenia,4
1998,Finland,Ireland,0
1998,Finland,Portugal,0
1998,Finland,Romania,0
